ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
4HTHRA ABTA ALDD2y CYTK1 EDTXSF1 FORtppi G6PDH2r/PGL GUAtex HXAND NDPK2 PDH PFL POX PPC PPS PUNP2 PYRtex SUCOAS,18,0.07910178,2.3481729,0.0559245316603495,1.2425578759598
4HTHRA ABTA CYTK1 FORtppi G6PDH2r/PGL NDPK2 PDH PFL POX PPS PYRtex SUCOAS,12,0.07910304,2.34807694,0.055922503104811,1.24256268233168
ABTA CYTK1 FORtppi G6PDH2r/PGL NDPK2 PDH PFL POX PPS PYRtex SUCOAS,11,0.07914397,2.3476226,0.0559122823886647,1.24251444033879
4HTHRA ABTA FORtppi G6PDH2r/PGL NDPK2 PDH PFL PIt2rpp POX PPS PYRtex SUCOAS,12,0.07918714,2.34571493,0.0558694252627385,1.24257428870856
ABTA FORtppi G6PDH2r/PGL NDPK2 PDH PFL PIt2rpp POX PPS PYRtex SUCOAS,11,0.07922815,2.34525888,0.0558591864129099,1.24252612503965
ABTA FORtppi G6PDH2r/PGL NDPK2 PDH PFL POX PPS PYRtex SUCOAS TRPAS2,11,0.07953897,2.34455528,0.0558431923370393,1.24194807068937
4HTHRA ABTA ALLTN FORtppi G6PDH2r/PGL NDPK2 PDH PFL POX PPS PYRtex SUCOAS,12,0.07963078,2.34377816,0.0558257749076425,1.24182167322575
4HTHRA ABTA FORtppi G6PDH2r/PGL NDPK2 PDH PFL POX PPS PYRtex SUCOAS,11,0.07963215,2.34363028,0.0558225540814859,1.2418303446389
ABTA FORtppi G6PDH2r/PGL NDPK2 PDH PFL POX PPS PYRtex SUCOAS,10,0.07967362,2.34317058,0.0558120743101669,1.24178181589688
ABTA AGM4PH ALLTN EAR141x FORtppi GARFT MACPD NDPK2 NDPK5 PDH PFL POX PPC PPS PYRtex SUCOAS TKT1 TRPAS2,18,0.07975259,2.33899262,0.0557181904687985,1.24194693515153
ABTA ALLTN FORtppi NDPK2 NDPK3 PDH PFL POX PPS PYRtex SUCOAS TKT1,12,0.07993789,2.33898667,0.0557180080685141,1.24157089604719
ABTA FORtppi NDPK2 NDPK3 PDH PFL POX PPS PYRtex SUCOAS TKT1,11,0.07993927,2.33883814,0.0557146693984071,1.24157969850044
4HTHRA ABTA ALLTN CYTK1 FORtppi G6PDH2r/PGL PDH PFL POX PPS PYRtex SUCOAS,12,0.08007201,2.33638612,0.0556595244705359,1.24150199282309
ABTA ALLTN FORtppi NDPK2 PDH PFL POX PPS PYRtex SUCOAS TKT1,11,0.08015674,2.33631934,0.0556579521572359,1.24133526234086
ABTA FORtppi NDPK2 PDH PFL POX PPS PYRtex SUCOAS TKT1,10,0.08015813,2.33617035,0.0556546166932786,1.24134411022867
ABTA FORtppi G6PDH2r/PGL PDH PFL POX PPS PYRtex SUCOAS TRPAS2,10,0.08025064,2.33588814,0.0556484035516726,1.24117845419836
4HTHRA ABTA ALLTN FORtppi G6PDH2r/PGL PDH PFL POX PPS PYRtex SUCOAS,11,0.08034409,2.33509396,0.0556304763673345,1.24105120194566
4HTHRA ABTA FORtppi G6PDH2r/PGL PDH PFL POX PPS PYRtex SUCOAS,10,0.08034549,2.3349446,0.0556271422328746,1.24106007338945
ABTA FORtppi G6PDH2r/PGL PDH PFL POX PPS PYRtex SUCOAS,9,0.08038771,2.33447622,0.0556165861672139,1.24101122688376
AACPS7 ABTA ACOAD6f FORtppi PDH PFL POX PPS PYRtex SUCOAS TKT1,11,0.08050521,2.32916816,0.0554971535382617,1.24119088597624
ABTA AGM4PH FORtppi GLGC/GLCS1 GUAt2pp MALt2_3pp METSOXR1 MG2uabcpp PDH PFL PGI POX PPC PPS PYRtex SUCOAS TKT1,17,0.08056278,2.32898285,0.0554929956488591,1.24108886078399
4HTHRA 5DKGR ABTA AGDC ALLTN APG3PAT161 ARBTNexs/ARBTNabcpp FORtppi FUMt2_2pp LPLIPAL2G161 NDPK2 PDH PFL POX PPC PPS PYRtex RPE SUCOAS,19,0.08068687,2.3288016,0.0554889537789731,1.2408518063836
AACPS7 ABTA FORtppi PDH PFL POX PPS PYRtex SUCOAS TKT1,10,0.08083293,2.32759073,0.0554615550865222,1.24065183942392
ABTA ALLTN FORtppi PDH PFL POX PPS PYRtex SUCOAS TKT1,10,0.08087955,2.32751001,0.0554597546598616,1.24056386447018
ABTA FORtppi PDH PFL POX PPS PYRtex SUCOAS TKT1,9,0.08088097,2.32735952,0.0554564318405181,1.24057286809614
4HTHRA ABTA FORtppi NDPK2 PDH PFL POX PPS PYRtex SUCOAS TALA TKT2,12,0.08099437,2.32215818,0.0553394019855947,1.24075586527244
AACPS4 ABTA FORtppi PDH PFL POX PPS PYRtex RPE SUCOAS TALA TRPAS2,12,0.08112171,2.32146257,0.0553236611999427,1.24055375782543
4HTHRA ABTA FORtppi NDPK2 PDH PFL POX PPS PYRtex SUCOAS TKT2,11,0.08122547,2.32103252,0.0553139304703316,1.24037830494278
AACPS4 ABTA FORtppi PDH PFL POX PPS PYRtex RPE SUCOAS TALA,11,0.08126178,2.32001039,0.055291060569926,1.24038628675462
ABTA FORtppi PDH PFL POX PPS PYRtex RPE SUCOAS TALA,10,0.08135569,2.31955199,0.055280706241936,1.24023314808081
4HTHRA ABTA ACACT7r FORtppi PDH PFL POX PPS PYRtex SUCOAS TALA TKT2 TRPAS2,13,0.08141632,2.31545893,0.0551884437911219,1.24043768744066
4HTHRA ABTA FORtppi PDH PFL POX PPS PYRtex SUCOAS TALA TKT2 TRPAS2,12,0.08159074,2.31459941,0.0551691282613688,1.240154516596
4HTHRA ABTA ACACT7r FORtppi PDH PFL POX PPS PYRtex SUCOAS TKT2 TRPAS2,12,0.08164984,2.31430818,0.0551625085854425,1.24005866303323
4HTHRA ABTA FORtppi PDH PFL POX PPS PYRtex SUCOAS TKT2 TRPAS2,11,0.08182527,2.31344372,0.0551431116573157,1.23977423337301
4HTHRA ABTA FORtppi PDH PFL POX PPS PYRtex SUCOAS TKT2,10,0.08196777,2.31196496,0.0551098315838042,1.23960579730246
ABTA ALLTN FORtppi GCALDD GHMT2r MTHFD/MTHFC PDH POX PPS PYRtex SUCOAS TKT2,12,0.08202909,2.29834419,0.0548029973269239,1.24058339460753
ABTA FORtppi GCALDD GHMT2r MTHFD/MTHFC PDH POX PPS PYRtex SUCOAS TKT2,11,0.08203148,2.29808909,0.0547971339783216,1.240599379822
ABTA ALLTN FORtppi GCALDD MTHFD/MTHFC PDH POX PPS PYRtex SUCOAS TKT2,11,0.08209447,2.29801078,0.0547955300765081,1.24047895023702
ABTA FORtppi GCALDD MTHFD/MTHFC PDH POX PPS PYRtex SUCOAS TKT2,10,0.08209686,2.29775547,0.0547896716147245,1.24049495817839
4HTHRA ABTA AM3PA EDTXSF1 FEENTERR4 FORtppi INStex L_LACt2rpp/L_LACtex LGTHL/GLYOX MTHFD/MTHFC NI2uabcpp NTPP8 PDH POX PPC PPS PYRtex SUCOAS TKT2,19,0.08209928,2.29772485,0.0547890310365694,1.24049256226978
ABTA FORtppi GCALDD GHMT2r PDH POX PPS PYRtex SUCOAS TKT2,10,0.0821005,2.29736179,0.0547807869623206,1.24051968417785
ABTA ALLTN FORtppi GHMT2r NDPK2 PDH POX PPS PYRtex RPE SUCOAS,11,0.08237199,2.29194779,0.0546587498978719,1.24041577671221
ABTA ALLTN FACOAE160 FORtppi GHMT2r PDH POX PPS PYRtex RPE SUCOAS TALA TRPAS2,13,0.08244338,2.28706491,0.0545485883766531,1.24067287350368
ABTA FACOAE160 FORtppi GHMT2r PDH POX PPS PYRtex RPE SUCOAS TALA TRPAS2,12,0.08244967,2.28684429,0.0333596241197811,1.24900011726402
ABTA ALLTN FORtppi GHMT2r PDH POX PPS PYRtex RPE SUCOAS TALA TRPAS2,12,0.08252538,2.28663763,0.0545389794024578,1.24054335670676
ABTA FORtppi GHMT2r PDH POX PPS PYRtex RPE SUCOAS TALA TRPAS2,11,0.08253168,2.28641676,0.0333471946772439,1.24887262571893
ABTA ALLTN FACOAE160 FORtppi GHMT2r PDH POX PPS PYRtex RPE SUCOAS TALA,12,0.08258805,2.28552867,0.0545140610536269,1.24050877686097
ABTA FACOAE160 FORtppi GHMT2r PDH POX PPS PYRtex RPE SUCOAS TALA,11,0.08259437,2.28530755,0.0333297535897423,1.24883543929018
ABTA ALLTN FORtppi GHMT2r PDH POX PPS PYRtex RPE SUCOAS TALA,11,0.08267034,2.28509911,0.0545043119454934,1.24037905133911
