ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
E4PD/PERD/OHPBAT FE3tex FRK G6PDH2r/PGL HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI PPKr,10,0.0644263,9.53767479,1.44566679967498,0.979511248937027
ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI PPKr VALt2rpp,9,0.06448364,9.53728013,1.58647048778675,0.96190822200831
ACALDtex/ACALDtpp ALCD2x/ETOHtex FRK HACD6 HADPCOADH/HADPCOADH3 Htex O2tex PGI PPKr,9,0.06555667,9.50658538,1.44454798027596,0.9788899633643
ACALDtex/ACALDtpp E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK HACD6 HADPCOADH/HADPCOADH3 Htex O2tex PGI PPKr,10,0.06555644,9.50656762,1.44454881077257,0.978890293245377
ACALDtex/ACALDtpp ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PGI PPKr,8,0.0661186,9.50235602,1.44474584209485,0.97834152178824
ACALDtex/ACALDtpp E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PGI PPKr,9,0.06611837,9.50233812,1.44474667988346,0.97834185304686
ACACT1r FE3tex FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI,8,0.06956346,9.5007574,0.746927769262771,1.12508697838589
ACACT1r E4PD/PERD/OHPBAT FE3tex FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI,9,0.06956321,9.50074111,0.746927866037234,1.12508734294407
ACACT1r FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI,7,0.06959859,9.50050526,0.746922746567136,1.12506009246279
ACACT1r E4PD/PERD/OHPBAT FRK G6PDH2r/PGL HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI,9,0.06959834,9.50048896,0.74692284327471,1.12506045717514
ALCD2x/ETOHtex FE3tex FORtppi FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI VALt2rpp,10,0.0710429,9.49021238,1.35721013021207,0.986858280462478
E4PD/PERD/OHPBAT ALCD2x/ETOHtex FE3tex FORtppi FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI VALt2rpp,11,0.07104263,9.49019578,1.3572107550346,0.986858649883676
ALCD2x/ETOHtex FE3tex FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI VALt2rpp,9,0.0710434,9.49013613,1.35721300027337,0.986858233194313
E4PD/PERD/OHPBAT ALCD2x/ETOHtex FE3tex FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI VALt2rpp,10,0.07104314,9.49011953,1.35721362510594,0.986858592602194
ALCD2x/ETOHtex FORtppi FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI VALt2rpp,9,0.07107954,9.48994944,1.35722002750733,0.986823122457159
E4PD/PERD/OHPBAT ALCD2x/ETOHtex FORtppi FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI VALt2rpp,10,0.07107928,9.48993283,1.35722065274091,0.986823481949957
ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI VALt2rpp,8,0.07108005,9.48987315,1.35722289923338,0.98682306557609
E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI VALt2rpp,9,0.07107979,9.48985654,1.35722352447701,0.986823425078363
5DKGR FORtppi FRK G6PDH2r/PGL GLCptspp Htex O2tex PDH POR5 PPKr,10,0.07629966,9.48054375,1.50569733513439,0.959969976236838
FRK GLCptspp Htex O2tex PDH POR5 PPKr,7,0.08196704,9.46201492,1.50668760835139,0.954274268219578
FRK H2tex/H2tpp Htex O2tex PDH POR5 PPKr,7,0.08758774,9.42512385,1.37032620743758,0.96896282504507
E4PD/PERD/OHPBAT FRK H2tex/H2tpp Htex O2tex PDH POR5 PPKr,8,0.08758699,9.42510925,1.37032678109275,0.96896367065047
5DKGR FRK G6PDH2r/PGL GLCptspp Htex O2tex PDH POR5 PPKr,9,0.07676155,9.42225152,1.50882591064604,0.959839397228889
5DKGR FORtppi FRK G6PDH2r/PGL GLCptspp Htex O2tex PDH POR5,9,0.08582147,9.41571829,1.41703315127539,0.963532684018575
FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGCD PPKr,7,0.08834512,9.40928726,1.23369665089808,0.99272355899923
E4PD/PERD/OHPBAT FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGCD PPKr,8,0.08834459,9.40926784,1.23369713322987,0.992724229937797
FE3tex FRK G6PDH2r/PGL GLCptspp GLUDy Htex MDH O2tex PACCOAL PDH,10,0.08291603,9.40492875,1.47055056211883,0.958875603530095
