Strategy,Flux,Biomass,N_of_deletions,C_limit
"['ACOAD3f', 'A5PISO', 'PERD', '4HTHRA']",0.7689448955022661,0.2199935820047945,4,11
"['CYTK1', 'ACOAD3f', 'MALS', 'MMM']",1.1370957508916035e-09,0.2567645651766417,4,11
"['PERD', 'TRDR', 'HACD1', '4HTHRK']",0.768946928104679,0.2152666457277447,4,11
"['FUM', 'TRDR', 'GMHEPPA', 'S7PI']",4.2405190470162774e-10,0.0427531957491741,4,11
"['A5PISO', 'PGCD', 'MALS', 'CBMD']",2.1063897293061022e-09,0.2539676281223196,4,11
"['PGI', 'THZPSN']",9.159287121596194e-05,0.2854636263830183,2,11
"['A5PISO', 'SERASr']",0.0,0.2854712083206322,2,11
"['FUM', 'A5PISO']",3.591944380820777e-10,0.0436366900676561,2,11
"['PGM', 'THZPSN', 'ALCD19']",9.4489847509871e-05,0.2820841169644272,3,11
"['FUM', 'SERASr', 'G3PD2']",2.850924829544965e-09,0.043600854093832,3,11
"['SULR', 'NAMNPP', 'THZPSN', 'ECOAH8']",9.159287154388237e-05,0.2854636263829942,4,11
"['FUM', 'A5PISO', 'ASNS2', '5DKGR']",8.330630407726858e-09,0.0422323597269432,4,11
"['FUM', 'IMPD', 'LYSDC', 'GLYAT']",5.459241947392002e-10,0.04357134551359,4,11
"['PGM', 'MDH', 'THZPSN', 'PDH']",9.13222132952196e-05,0.2450197944580007,4,11
"['PGM', 'A5PISO', 'ECOAH8', 'SERASr']",6.579629143743659e-07,0.282091846117377,4,11
"['TKT1', 'AGMHE', 'THZPSN']",9.484293986961911e-05,0.2847378673578968,3,11
"['E4PD', 'TRSARr', 'MCITL2']",0.0,0.2854710304406426,3,11
"['KDOPP', 'ECOAH4', 'GALUi']",3.2787283998914063e-10,0.2839623472638917,3,11
"['TRSARr', 'THZPSN', 'MCITL2']",0.0,0.2854636263829981,3,11
"['TKT1', 'TRSARr', 'PRPPS']",0.0,0.2847456983790857,3,11
"['KDOPP', 'THZPSN', 'ECOAH8']",1.3977455637359526e-08,0.2854636250980276,3,11
"['E4PD', 'THZPSN', '4HTHRK']",0.7689441131769368,0.2218129256465114,3,11
"['PRPPS', 'THZPSN', 'HXAND', 'AP4AS']",9.15928716374026e-05,0.2854636263829817,4,11
"['E4PD', 'ECOAH4', 'ECOAH8', '4HTHRK']",0.7689446148091056,0.2206463511573817,4,11
"['E4PD', 'TRSARr', 'MCITL2', 'ECOAH4']",0.0,0.2839621713087553,4,11
"['E4PD', 'CYTK1', 'RPI', 'PDH']",0.0004722126964789,0.0936414675296199,4,11
"['ECOAH5', 'PERD', 'NTD5', 'RPI']",1.7487309378338978e-08,0.0951254669179686,4,11
"['ECOAH5', 'PERD', 'E4PD', 'CYTK1']",2.0270363165764136e-10,0.2837421286915678,4,11
"['E4PD', 'CYTK1', 'TPI', 'RPI']",0.0004596113470824,0.0948845903349564,4,11
"['ECOAH5', 'PERD', 'KDOPS', 'TPI']",5.099991540191694e-10,0.2841054648022025,4,11
"['ANHMK', 'PRPPS', 'RPI', 'PDH']",1.0723838483883695e-10,0.0946088049955296,4,11
"['PERD', 'RPI', 'NTD4', 'PDH']",0.0004702769774288,0.094596233698996,4,11
"['ECOAH5', 'E4PD', 'CYTK1', 'PDH']",2.332058102183509e-09,0.2809025210941001,4,11
"['CYTK1', 'PERD', 'PMANM', 'RPI']",0.0004597015506533,0.0949032124385431,4,11
"['ECOAH5', 'E4PD', 'TPI', 'PDH']",0.0,0.2812680197259081,4,11
"['F6PA', 'URIDK2r', 'PMANM']",0.0,0.285439899274596,3,10
"['CYTK2', 'F6PA', 'PMANM']",1.045691533363424e-09,0.2854712082577396,3,10
"['G6PDH2r', 'URACPAH', 'URIDK2r']",1.4927081792848183e-09,0.2854398992745892,3,10
"['A5PISO', 'DHNPA2', 'XAND']",1.965869622644334e-07,0.2854711882527516,3,10
"['CYTK2', 'G6PDH2r', 'PMANM']",0.0,0.2854712083206288,3,10
"['CYTK2', 'F6PA', 'G6PDH2r']",0.0,0.2854712083206314,3,10
"['NDPK2', 'URIDK2r', 'PMANM']",1.5632317662550574e-10,0.2849633007480854,3,10
"['NDPK2', 'G6PDH2r', 'O6A4COLIPAt2ex']",2.584265468286162e-09,0.2849945051651591,3,10
"['CYTK2', 'F6PA', 'URIDK2r']",2.303067958564497e-09,0.2854398989956845,3,10
"['CYTK2', 'NDPK2', 'AHGDx']",0.0,0.2849945053223668,3,10
['THZPSN'],9.159285210455245e-05,0.2854636263845924,1,10
['PTAr'],0.0,0.2854712083206288,1,10
['ECOAH2'],-1.9327928146850578e-11,0.2831222904185076,1,10
['ACACT6r'],-1.936450999551198e-11,0.2845165957394535,1,10
['HACD2'],0.0,0.2831222904169159,1,10
['PPK2r'],0.0,0.2854712083206265,1,10
['ACACT4r'],0.0,0.2839623473133166,1,10
['ECOAH6'],0.0,0.2845165957378598,1,10
['LSERDHr'],0.0,0.2854712083206275,1,10
"['THZPSN', 'PTAr']",9.159285222183016e-05,0.2854636263845898,2,10
"['E4PD', 'GCALDD']",1.5354738289765402,0.1581793370491535,2,10
"['CYTK1', 'NDPK2']",4.516552021271991e-09,0.284284213915953,2,10
"['ECOAH2', 'PTAr']",0.0,0.2831222904169226,2,10
"['CYTK1', 'PTAr']",0.0,0.2849363748574214,2,10
"['CYTK1', 'GCALDD']",0.0,0.2849363748574273,2,10
"['NDPK2', 'GCALDD']",0.0,0.284994505322354,2,10
"['GCALDD', 'PUNP5']",0.0,0.2854712083206406,2,10
"['E4PD', 'GCALDD', 'ECOAH2']",1.5356567124369027,0.1568775728897142,3,10
"['NDPK2', 'ECOAH2', 'PTAr']",0.0,0.2826533935290872,3,10
"['E4PD', 'NDPK2', 'GMHEPK']",3.322952579765115e-09,0.2849943276592146,3,10
"['OHPBAT', 'GLUDy']",7.099515642039478e-09,0.2760036461690424,2,10
"['ACACT7r', 'IDOND']",0.0,0.285138919895812,2,10
