Reaction,Presence,Normalised_max_Flux,Normalised_max_biomass
ANHMK,0.004975124378109453,4.756731964617389e-11,0.33141277381639817
FACOAE141,0.004975124378109453,4.652915748575204e-11,0.14994451300307332
FACOAE100,0.004975124378109453,4.4489354561200733e-11,0.9999816705773833
MCITL2,0.014925373134328358,0.0,0.9999993768764884
ACOAD1f,0.004975124378109453,0.0,0.9999999999866012
ACACT7r,0.024875621890547265,0.0,0.9988360002026275
LSERDHr,0.009950248756218905,0.0,0.9999999999865595
TRSARr,0.024875621890547265,0.0,0.9999999999865787
5DGLCNR,0.029850746268656716,0.0,0.9999999999865735
XYLI2,0.004975124378109453,0.0,0.9924495177376469
ICHORS_copy2,0.024875621890547265,0.0,0.9999999999865595
ACOATA,0.01990049751243781,0.0,0.9999999999921779
AHGDx,0.004975124378109453,0.0,0.998330118806392
ALDD19xr,0.014925373134328358,0.0,0.9999999999865337
PPK2r,0.004975124378109453,0.0,0.999999999986556
ECOAH1,0.024875621890547265,0.0,0.9917717869997086
ECOAH6,0.004975124378109453,0.0,0.9966560109784537
NADPHXE,0.009950248756218905,0.0,0.999999999992165
PUNP5,0.004975124378109453,0.0,0.9999999999866054
IDOND,0.04477611940298507,0.0,0.9999999999865595
PYK4,0.004975124378109453,0.0,0.9917456628905954
ACACT8r,0.004975124378109453,-5.1615442382551075e-12,0.9999999999899276
DADA,0.004975124378109453,-8.288451586194718e-12,0.9082018589931842
PYRtex,0.0,0.0,0.0
